Date,Category,Sales,Product_ID,Region
05/11/2023,Groceries,460.42,1353,North
18/09/2024,Books,139.03,1971,North
02/08/2024,Furniture,500.05,1319,West
18/10/2024,Groceries,423.64,1271,South
18/01/2024,Toys,386.33,1664,West
17/09/2024,Clothing,763.48,1965,South
28/08/2024,Furniture,885.55,1741,West
27/09/2024,Electronics,202.59,1518,North
29/06/2024,Clothing,414.11,1774,West
10/09/2024,Furniture,706.24,1586,East
02/09/2024,Groceries,299.63,1172,East
10/01/2024,Furniture,386.08,1318,West
14/12/2023,Furniture,524.04,1072,West
23/02/2024,Toys,959.8,1143,East
13/08/2024,Toys,627.89,1683,East
01/09/2024,Clothing,702.71,1001,North
08/11/2023,Groceries,154.5,1099,North
04/06/2024,Toys,355.26,1952,South
12/12/2023,Toys,471.34,1375,East
11/06/2024,Clothing,270.25,1012,South
31/10/2024,Groceries,80.11,1578,South
02/12/2023,Electronics,181.91,1939,West
03/07/2024,Books,326,1664,North
24/09/2024,Toys,323.72,1140,South
12/11/2023,Toys,850.77,1290,Central
05/02/2024,Furniture,935.34,1815,Central
12/01/2024,Groceries,890.8,1106,South
26/01/2024,Toys,254.37,1745,East
27/11/2023,Electronics,850.71,1700,South
01/03/2024,Books,501.31,1230,Central
17/06/2024,Toys,981.36,1206,East
04/08/2024,Furniture,569.04,1848,South
03/01/2024,Electronics,220.35,1385,West
06/03/2024,Electronics,133.18,1290,West
01/01/2024,Furniture,60.38,1915,North
01/05/2024,Furniture,883.38,1839,Central
21/10/2024,Toys,475.34,1096,East
25/06/2024,Groceries,706.32,1104,Central
16/09/2024,Groceries,568.2,1598,South
05/12/2023,Clothing,32.03,1536,West
07/09/2024,Clothing,180.48,1209,Central
03/04/2024,Electronics,69.16,1037,West
16/06/2024,Furniture,931.53,1447,North
03/03/2024,Clothing,931.84,1950,North
16/08/2024,Clothing,236.63,1478,East
04/05/2024,Electronics,101.2,1472,South
08/03/2024,Furniture,370.09,1383,West
29/06/2024,Furniture,353.45,1145,Central
27/10/2024,Electronics,41.64,1605,West
19/09/2024,Furniture,826.92,1912,South
28/05/2024,Furniture,163.07,1234,South
14/09/2024,Furniture,972.6,1716,Central
26/05/2024,Electronics,30.25,1919,East
08/01/2024,Clothing,558.17,1403,South
13/09/2024,Clothing,658.68,1009,East
30/11/2023,Electronics,790.33,1359,South
02/12/2023,Furniture,88.34,1414,North
08/11/2023,Furniture,620.39,1203,South
27/04/2024,Electronics,782.47,1721,West
18/06/2024,Electronics,922.65,1127,North
21/04/2024,Electronics,658.23,1496,East
20/09/2024,Furniture,617.19,1439,North
16/09/2024,Books,447.52,1745,South
16/10/2024,Furniture,149.14,1425,North
04/10/2024,Toys,715.6,1369,West
31/07/2024,Furniture,697.97,1274,North
28/03/2024,Books,173.77,1061,East
27/10/2024,Clothing,255.53,1469,West
